Country,Time,Demand_MW
AUS,1,4000
AUS,2,4000
AUS,3,4000
AUS,4,4000
AUS,5,4000
AUS,6,4000
AUS,7,4000
AUS,8,4000
AUS,9,4000
AUS,10,4000
AUS,11,4000
AUS,12,4000
AUS,13,4000
AUS,14,4000
AUS,15,4000
AUS,16,4000
AUS,17,4000
AUS,18,4000
AUS,19,4000
AUS,20,4000
AUS,21,4000
AUS,22,4000
AUS,23,4000
AUS,24,4000
AUS,25,4000
AUS,26,4000
AUS,27,4000
AUS,28,4000
AUS,29,4000
AUS,30,4000
AUS,31,4000
AUS,32,4000
AUS,33,4000
AUS,34,4000
AUS,35,4000
AUS,36,4000
AUS,37,4000
AUS,38,4000
AUS,39,4000
AUS,40,4000
AUS,41,4000
AUS,42,4000
AUS,43,4000
AUS,44,4000
AUS,45,4000
AUS,46,4000
AUS,47,4000
AUS,48,4000
AUS,49,4000
AUS,50,4000
AUS,51,4000
AUS,52,4000
AUS,53,4000
AUS,54,4000
AUS,55,4000
AUS,56,4000
AUS,57,4000
AUS,58,4000
AUS,59,4000
AUS,60,4000
AUS,61,4000
AUS,62,4000
AUS,63,4000
AUS,64,4000
AUS,65,4000
AUS,66,4000
AUS,67,4000
AUS,68,4000
AUS,69,4000
AUS,70,4000
AUS,71,4000
AUS,72,4000
AUS,73,4000
AUS,74,4000
AUS,75,4000
AUS,76,4000
AUS,77,4000
AUS,78,4000
AUS,79,4000
AUS,80,4000
AUS,81,4000
AUS,82,4000
AUS,83,4000
AUS,84,4000
AUS,85,4000
AUS,86,4000
AUS,87,4000
AUS,88,4000
AUS,89,4000
AUS,90,4000
AUS,91,4000
AUS,92,4000
AUS,93,4000
AUS,94,4000
AUS,95,4000
AUS,96,4000
AUS,97,4000
AUS,98,4000
AUS,99,4000
AUS,100,4000
AUS,101,4000
AUS,102,4000
AUS,103,4000
AUS,104,4000
AUS,105,4000
AUS,106,4000
AUS,107,4000
AUS,108,4000
AUS,109,4000
AUS,110,4000
AUS,111,4000
AUS,112,4000
AUS,113,4000
AUS,114,4000
AUS,115,4000
AUS,116,4000
AUS,117,4000
AUS,118,4000
AUS,119,4000
AUS,120,4000
AUS,121,4000
AUS,122,4000
AUS,123,4000
AUS,124,4000
AUS,125,4000
AUS,126,4000
AUS,127,4000
AUS,128,4000
AUS,129,4000
AUS,130,4000
AUS,131,4000
AUS,132,4000
AUS,133,4000
AUS,134,4000
AUS,135,4000
AUS,136,4000
AUS,137,4000
AUS,138,4000
AUS,139,4000
AUS,140,4000
AUS,141,4000
AUS,142,4000
AUS,143,4000
AUS,144,4000
AUS,145,4000
AUS,146,4000
AUS,147,4000
AUS,148,4000
AUS,149,4000
AUS,150,4000
AUS,151,4000
AUS,152,4000
AUS,153,4000
AUS,154,4000
AUS,155,4000
AUS,156,4000
AUS,157,4000
AUS,158,4000
AUS,159,4000
AUS,160,4000
AUS,161,4000
AUS,162,4000
AUS,163,4000
AUS,164,4000
AUS,165,4000
AUS,166,4000
AUS,167,4000
AUS,168,4000
AUS,169,4000
AUS,170,4000
AUS,171,4000
AUS,172,4000
AUS,173,4000
AUS,174,4000
AUS,175,4000
AUS,176,4000
AUS,177,4000
AUS,178,4000
AUS,179,4000
AUS,180,4000
AUS,181,4000
AUS,182,4000
AUS,183,4000
AUS,184,4000
AUS,185,4000
AUS,186,4000
AUS,187,4000
AUS,188,4000
AUS,189,4000
AUS,190,4000
AUS,191,4000
AUS,192,4000
AUS,193,4000
AUS,194,4000
AUS,195,4000
AUS,196,4000
AUS,197,4000
AUS,198,4000
AUS,199,4000
AUS,200,4000
AUS,201,4000
AUS,202,4000
AUS,203,4000
AUS,204,4000
AUS,205,4000
AUS,206,4000
AUS,207,4000
AUS,208,4000
AUS,209,4000
AUS,210,4000
AUS,211,4000
AUS,212,4000
AUS,213,4000
AUS,214,4000
AUS,215,4000
AUS,216,4000
AUS,217,4000
AUS,218,4000
AUS,219,4000
AUS,220,4000
AUS,221,4000
AUS,222,4000
AUS,223,4000
AUS,224,4000
AUS,225,4000
AUS,226,4000
AUS,227,4000
AUS,228,4000
AUS,229,4000
AUS,230,4000
AUS,231,4000
AUS,232,4000
AUS,233,4000
AUS,234,4000
AUS,235,4000
AUS,236,4000
AUS,237,4000
AUS,238,4000
AUS,239,4000
AUS,240,4000
AUS,241,4000
AUS,242,4000
AUS,243,4000
AUS,244,4000
AUS,245,4000
AUS,246,4000
AUS,247,4000
AUS,248,4000
AUS,249,4000
AUS,250,4000
AUS,251,4000
AUS,252,4000
AUS,253,4000
AUS,254,4000
AUS,255,4000
AUS,256,4000
AUS,257,4000
AUS,258,4000
AUS,259,4000
AUS,260,4000
AUS,261,4000
AUS,262,4000
AUS,263,4000
AUS,264,4000
AUS,265,4000
AUS,266,4000
AUS,267,4000
AUS,268,4000
AUS,269,4000
AUS,270,4000
AUS,271,4000
AUS,272,4000
AUS,273,4000
AUS,274,4000
AUS,275,4000
AUS,276,4000
AUS,277,4000
AUS,278,4000
AUS,279,4000
AUS,280,4000
AUS,281,4000
AUS,282,4000
AUS,283,4000
AUS,284,4000
AUS,285,4000
AUS,286,4000
AUS,287,4000
AUS,288,4000
AUS,289,4000
AUS,290,4000
AUS,291,4000
AUS,292,4000
AUS,293,4000
AUS,294,4000
AUS,295,4000
AUS,296,4000
AUS,297,4000
AUS,298,4000
AUS,299,4000
AUS,300,4000
AUS,301,4000
AUS,302,4000
AUS,303,4000
AUS,304,4000
AUS,305,4000
AUS,306,4000
AUS,307,4000
AUS,308,4000
AUS,309,4000
AUS,310,4000
AUS,311,4000
AUS,312,4000
AUS,313,4000
AUS,314,4000
AUS,315,4000
AUS,316,4000
AUS,317,4000
AUS,318,4000
AUS,319,4000
AUS,320,4000
AUS,321,4000
AUS,322,4000
AUS,323,4000
AUS,324,4000
AUS,325,4000
AUS,326,4000
AUS,327,4000
AUS,328,4000
AUS,329,4000
AUS,330,4000
AUS,331,4000
AUS,332,4000
AUS,333,4000
AUS,334,4000
AUS,335,4000
AUS,336,4000
AUS,337,4000
AUS,338,4000
AUS,339,4000
AUS,340,4000
AUS,341,4000
AUS,342,4000
AUS,343,4000
AUS,344,4000
AUS,345,4000
AUS,346,4000
AUS,347,4000
AUS,348,4000
AUS,349,4000
AUS,350,4000
AUS,351,4000
AUS,352,4000
AUS,353,4000
AUS,354,4000
AUS,355,4000
AUS,356,4000
AUS,357,4000
AUS,358,4000
AUS,359,4000
AUS,360,4000
AUS,361,4000
AUS,362,4000
AUS,363,4000
AUS,364,4000
AUS,365,4000
AUS,366,4000
AUS,367,4000
AUS,368,4000
AUS,369,4000
AUS,370,4000
AUS,371,4000
AUS,372,4000
AUS,373,4000
AUS,374,4000
AUS,375,4000
AUS,376,4000
AUS,377,4000
AUS,378,4000
AUS,379,4000
AUS,380,4000
AUS,381,4000
AUS,382,4000
AUS,383,4000
AUS,384,4000
AUS,385,4000
AUS,386,4000
AUS,387,4000
AUS,388,4000
AUS,389,4000
AUS,390,4000
AUS,391,4000
AUS,392,4000
AUS,393,4000
AUS,394,4000
AUS,395,4000
AUS,396,4000
AUS,397,4000
AUS,398,4000
AUS,399,4000
AUS,400,4000
AUS,401,4000
AUS,402,4000
AUS,403,4000
AUS,404,4000
AUS,405,4000
AUS,406,4000
AUS,407,4000
AUS,408,4000
AUS,409,4000
AUS,410,4000
AUS,411,4000
AUS,412,4000
AUS,413,4000
AUS,414,4000
AUS,415,4000
AUS,416,4000
AUS,417,4000
AUS,418,4000
AUS,419,4000
AUS,420,4000
AUS,421,4000
AUS,422,4000
AUS,423,4000
AUS,424,4000
AUS,425,4000
AUS,426,4000
AUS,427,4000
AUS,428,4000
AUS,429,4000
AUS,430,4000
AUS,431,4000
AUS,432,4000
AUS,433,4000
AUS,434,4000
AUS,435,4000
AUS,436,4000
AUS,437,4000
AUS,438,4000
AUS,439,4000
AUS,440,4000
AUS,441,4000
AUS,442,4000
AUS,443,4000
AUS,444,4000
AUS,445,4000
AUS,446,4000
AUS,447,4000
AUS,448,4000
AUS,449,4000
AUS,450,4000
AUS,451,4000
AUS,452,4000
AUS,453,4000
AUS,454,4000
AUS,455,4000
AUS,456,4000
AUS,457,4000
AUS,458,4000
AUS,459,4000
AUS,460,4000
AUS,461,4000
AUS,462,4000
AUS,463,4000
AUS,464,4000
AUS,465,4000
AUS,466,4000
AUS,467,4000
AUS,468,4000
AUS,469,4000
AUS,470,4000
AUS,471,4000
AUS,472,4000
AUS,473,4000
AUS,474,4000
AUS,475,4000
AUS,476,4000
AUS,477,4000
AUS,478,4000
AUS,479,4000
AUS,480,4000
AUS,481,4000
AUS,482,4000
AUS,483,4000
AUS,484,4000
AUS,485,4000
AUS,486,4000
AUS,487,4000
AUS,488,4000
AUS,489,4000
AUS,490,4000
AUS,491,4000
AUS,492,4000
AUS,493,4000
AUS,494,4000
AUS,495,4000
AUS,496,4000
AUS,497,4000
AUS,498,4000
AUS,499,4000
AUS,500,4000
AUS,501,4000
AUS,502,4000
AUS,503,4000
AUS,504,4000
AUS,505,4000
AUS,506,4000
AUS,507,4000
AUS,508,4000
AUS,509,4000
AUS,510,4000
AUS,511,4000
AUS,512,4000
AUS,513,4000
AUS,514,4000
AUS,515,4000
AUS,516,4000
AUS,517,4000
AUS,518,4000
AUS,519,4000
AUS,520,4000
AUS,521,4000
AUS,522,4000
AUS,523,4000
AUS,524,4000
AUS,525,4000
AUS,526,4000
AUS,527,4000
AUS,528,4000
AUS,529,4000
AUS,530,4000
AUS,531,4000
AUS,532,4000
AUS,533,4000
AUS,534,4000
AUS,535,4000
AUS,536,4000
AUS,537,4000
AUS,538,4000
AUS,539,4000
AUS,540,4000
AUS,541,4000
AUS,542,4000
AUS,543,4000
AUS,544,4000
AUS,545,4000
AUS,546,4000
AUS,547,4000
AUS,548,4000
AUS,549,4000
AUS,550,4000
AUS,551,4000
AUS,552,4000
AUS,553,4000
AUS,554,4000
AUS,555,4000
AUS,556,4000
AUS,557,4000
AUS,558,4000
AUS,559,4000
AUS,560,4000
AUS,561,4000
AUS,562,4000
AUS,563,4000
AUS,564,4000
AUS,565,4000
AUS,566,4000
AUS,567,4000
AUS,568,4000
AUS,569,4000
AUS,570,4000
AUS,571,4000
AUS,572,4000
AUS,573,4000
AUS,574,4000
AUS,575,4000
AUS,576,4000
AUS,577,4000
AUS,578,4000
AUS,579,4000
AUS,580,4000
AUS,581,4000
AUS,582,4000
AUS,583,4000
AUS,584,4000
AUS,585,4000
AUS,586,4000
AUS,587,4000
AUS,588,4000
AUS,589,4000
AUS,590,4000
AUS,591,4000
AUS,592,4000
AUS,593,4000
AUS,594,4000
AUS,595,4000
AUS,596,4000
AUS,597,4000
AUS,598,4000
AUS,599,4000
AUS,600,4000
AUS,601,4000
AUS,602,4000
AUS,603,4000
AUS,604,4000
AUS,605,4000
AUS,606,4000
AUS,607,4000
AUS,608,4000
AUS,609,4000
AUS,610,4000
AUS,611,4000
AUS,612,4000
AUS,613,4000
AUS,614,4000
AUS,615,4000
AUS,616,4000
AUS,617,4000
AUS,618,4000
AUS,619,4000
AUS,620,4000
AUS,621,4000
AUS,622,4000
AUS,623,4000
AUS,624,4000
AUS,625,4000
AUS,626,4000
AUS,627,4000
AUS,628,4000
AUS,629,4000
AUS,630,4000
AUS,631,4000
AUS,632,4000
AUS,633,4000
AUS,634,4000
AUS,635,4000
AUS,636,4000
AUS,637,4000
AUS,638,4000
AUS,639,4000
AUS,640,4000
AUS,641,4000
AUS,642,4000
AUS,643,4000
AUS,644,4000
AUS,645,4000
AUS,646,4000
AUS,647,4000
AUS,648,4000
AUS,649,4000
AUS,650,4000
AUS,651,4000
AUS,652,4000
AUS,653,4000
AUS,654,4000
AUS,655,4000
AUS,656,4000
AUS,657,4000
AUS,658,4000
AUS,659,4000
AUS,660,4000
AUS,661,4000
AUS,662,4000
AUS,663,4000
AUS,664,4000
AUS,665,4000
AUS,666,4000
AUS,667,4000
AUS,668,4000
AUS,669,4000
AUS,670,4000
AUS,671,4000
AUS,672,4000
AUS,673,4000
AUS,674,4000
AUS,675,4000
AUS,676,4000
AUS,677,4000
AUS,678,4000
AUS,679,4000
AUS,680,4000
AUS,681,4000
AUS,682,4000
AUS,683,4000
AUS,684,4000
AUS,685,4000
AUS,686,4000
AUS,687,4000
AUS,688,4000
AUS,689,4000
AUS,690,4000
AUS,691,4000
AUS,692,4000
AUS,693,4000
AUS,694,4000
AUS,695,4000
AUS,696,4000
AUS,697,4000
AUS,698,4000
AUS,699,4000
AUS,700,4000
AUS,701,4000
AUS,702,4000
AUS,703,4000
AUS,704,4000
AUS,705,4000
AUS,706,4000
AUS,707,4000
AUS,708,4000
AUS,709,4000
AUS,710,4000
AUS,711,4000
AUS,712,4000
AUS,713,4000
AUS,714,4000
AUS,715,4000
AUS,716,4000
AUS,717,4000
AUS,718,4000
AUS,719,4000
AUS,720,4000
AUS,721,4000
AUS,722,4000
AUS,723,4000
AUS,724,4000
AUS,725,4000
AUS,726,4000
AUS,727,4000
AUS,728,4000
AUS,729,4000
AUS,730,4000
AUS,731,4000
AUS,732,4000
AUS,733,4000
AUS,734,4000
AUS,735,4000
AUS,736,4000
AUS,737,4000
AUS,738,4000
AUS,739,4000
AUS,740,4000
AUS,741,4000
AUS,742,4000
AUS,743,4000
AUS,744,4000
AUS,745,4000
AUS,746,4000
AUS,747,4000
AUS,748,4000
AUS,749,4000
AUS,750,4000
AUS,751,4000
AUS,752,4000
AUS,753,4000
AUS,754,4000
AUS,755,4000
AUS,756,4000
AUS,757,4000
AUS,758,4000
AUS,759,4000
AUS,760,4000
AUS,761,4000
AUS,762,4000
AUS,763,4000
AUS,764,4000
AUS,765,4000
AUS,766,4000
AUS,767,4000
AUS,768,4000
AUS,769,4000
AUS,770,4000
AUS,771,4000
AUS,772,4000
AUS,773,4000
AUS,774,4000
AUS,775,4000
AUS,776,4000
AUS,777,4000
AUS,778,4000
AUS,779,4000
AUS,780,4000
AUS,781,4000
AUS,782,4000
AUS,783,4000
AUS,784,4000
AUS,785,4000
AUS,786,4000
AUS,787,4000
AUS,788,4000
AUS,789,4000
AUS,790,4000
AUS,791,4000
AUS,792,4000
AUS,793,4000
AUS,794,4000
AUS,795,4000
AUS,796,4000
AUS,797,4000
AUS,798,4000
AUS,799,4000
AUS,800,4000
AUS,801,4000
AUS,802,4000
AUS,803,4000
AUS,804,4000
AUS,805,4000
AUS,806,4000
AUS,807,4000
AUS,808,4000
AUS,809,4000
AUS,810,4000
AUS,811,4000
AUS,812,4000
AUS,813,4000
AUS,814,4000
AUS,815,4000
AUS,816,4000
AUS,817,4000
AUS,818,4000
AUS,819,4000
AUS,820,4000
AUS,821,4000
AUS,822,4000
AUS,823,4000
AUS,824,4000
AUS,825,4000
AUS,826,4000
AUS,827,4000
AUS,828,4000
AUS,829,4000
AUS,830,4000
AUS,831,4000
AUS,832,4000
AUS,833,4000
AUS,834,4000
AUS,835,4000
AUS,836,4000
AUS,837,4000
AUS,838,4000
AUS,839,4000
AUS,840,4000
AUS,841,4000
AUS,842,4000
AUS,843,4000
AUS,844,4000
AUS,845,4000
AUS,846,4000
AUS,847,4000
AUS,848,4000
AUS,849,4000
AUS,850,4000
AUS,851,4000
AUS,852,4000
AUS,853,4000
AUS,854,4000
AUS,855,4000
AUS,856,4000
AUS,857,4000
AUS,858,4000
AUS,859,4000
AUS,860,4000
AUS,861,4000
AUS,862,4000
AUS,863,4000
AUS,864,4000
AUS,865,4000
AUS,866,4000
AUS,867,4000
AUS,868,4000
AUS,869,4000
AUS,870,4000
AUS,871,4000
AUS,872,4000
AUS,873,4000
AUS,874,4000
AUS,875,4000
AUS,876,4000
AUS,877,4000
AUS,878,4000
AUS,879,4000
AUS,880,4000
AUS,881,4000
AUS,882,4000
AUS,883,4000
AUS,884,4000
AUS,885,4000
AUS,886,4000
AUS,887,4000
AUS,888,4000
AUS,889,4000
AUS,890,4000
AUS,891,4000
AUS,892,4000
AUS,893,4000
AUS,894,4000
AUS,895,4000
AUS,896,4000
AUS,897,4000
AUS,898,4000
AUS,899,4000
AUS,900,4000
AUS,901,4000
AUS,902,4000
AUS,903,4000
AUS,904,4000
AUS,905,4000
AUS,906,4000
AUS,907,4000
AUS,908,4000
AUS,909,4000
AUS,910,4000
AUS,911,4000
AUS,912,4000
AUS,913,4000
AUS,914,4000
AUS,915,4000
AUS,916,4000
AUS,917,4000
AUS,918,4000
AUS,919,4000
AUS,920,4000
AUS,921,4000
AUS,922,4000
AUS,923,4000
AUS,924,4000
AUS,925,4000
AUS,926,4000
AUS,927,4000
AUS,928,4000
AUS,929,4000
AUS,930,4000
AUS,931,4000
AUS,932,4000
AUS,933,4000
AUS,934,4000
AUS,935,4000
AUS,936,4000
AUS,937,4000
AUS,938,4000
AUS,939,4000
AUS,940,4000
AUS,941,4000
AUS,942,4000
AUS,943,4000
AUS,944,4000
AUS,945,4000
AUS,946,4000
AUS,947,4000
AUS,948,4000
AUS,949,4000
AUS,950,4000
AUS,951,4000
AUS,952,4000
AUS,953,4000
AUS,954,4000
AUS,955,4000
AUS,956,4000
AUS,957,4000
AUS,958,4000
AUS,959,4000
AUS,960,4000
AUS,961,4000
AUS,962,4000
AUS,963,4000
AUS,964,4000
AUS,965,4000
AUS,966,4000
AUS,967,4000
AUS,968,4000
AUS,969,4000
AUS,970,4000
AUS,971,4000
AUS,972,4000
AUS,973,4000
AUS,974,4000
AUS,975,4000
AUS,976,4000
AUS,977,4000
AUS,978,4000
AUS,979,4000
AUS,980,4000
AUS,981,4000
AUS,982,4000
AUS,983,4000
AUS,984,4000
AUS,985,4000
AUS,986,4000
AUS,987,4000
AUS,988,4000
AUS,989,4000
AUS,990,4000
AUS,991,4000
AUS,992,4000
AUS,993,4000
AUS,994,4000
AUS,995,4000
AUS,996,4000
AUS,997,4000
AUS,998,4000
AUS,999,4000
AUS,1000,4000
AUS,1001,4000
AUS,1002,4000
AUS,1003,4000
AUS,1004,4000
AUS,1005,4000
AUS,1006,4000
AUS,1007,4000
AUS,1008,4000
AUS,1009,4000
AUS,1010,4000
AUS,1011,4000
AUS,1012,4000
AUS,1013,4000
AUS,1014,4000
AUS,1015,4000
AUS,1016,4000
AUS,1017,4000
AUS,1018,4000
AUS,1019,4000
AUS,1020,4000
AUS,1021,4000
AUS,1022,4000
AUS,1023,4000
AUS,1024,4000
AUS,1025,4000
AUS,1026,4000
AUS,1027,4000
AUS,1028,4000
AUS,1029,4000
AUS,1030,4000
AUS,1031,4000
AUS,1032,4000
AUS,1033,4000
AUS,1034,4000
AUS,1035,4000
AUS,1036,4000
AUS,1037,4000
AUS,1038,4000
AUS,1039,4000
AUS,1040,4000
AUS,1041,4000
AUS,1042,4000
AUS,1043,4000
AUS,1044,4000
AUS,1045,4000
AUS,1046,4000
AUS,1047,4000
AUS,1048,4000
AUS,1049,4000
AUS,1050,4000
AUS,1051,4000
AUS,1052,4000
AUS,1053,4000
AUS,1054,4000
AUS,1055,4000
AUS,1056,4000
AUS,1057,4000
AUS,1058,4000
AUS,1059,4000
AUS,1060,4000
AUS,1061,4000
AUS,1062,4000
AUS,1063,4000
AUS,1064,4000
AUS,1065,4000
AUS,1066,4000
AUS,1067,4000
AUS,1068,4000
